id,age,gender,country,is_student,education_level,years_coding,years_ml,job_title,salary_usd
4117,45-54,man,India,No,university educated,10+ years,2-5 years,non data role,"$30,000-$69,999"
4118,18-24,man,Pakistan,No,university educated,0-3 years,unknown,unknown/unemployed,
4119,25-34,man,China,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4120,35-44,woman,United States of America,No,university educated,3-10 years,5+ years,data role,"$125,000+"
4121,18-24,man,Cameroon,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4122,18-24,woman,Other,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4123,35-44,woman,India,No,university educated,0-3 years,0-2 years,non data role,
4124,35-44,woman,India,No,university educated,0-3 years,0-2 years,data role,"$125,000+"
4125,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4126,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
4127,25-34,man,Pakistan,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
4128,18-24,woman,India,Yes,university educated,0-3 years,none,unknown/unemployed,
4129,18-24,woman,Egypt,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4130,18-24,woman,India,Yes,no university,none,unknown,unknown/unemployed,
4131,35-44,man,India,No,university educated,0-3 years,5+ years,data role,"$30,000-$69,999"
4132,18-24,man,United States of America,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
4133,25-34,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4134,18-24,woman,Indonesia,No,university educated,3-10 years,2-5 years,data role,"under $30,000"
4135,25-34,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4136,25-34,woman,United States of America,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4137,18-24,man,India,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
4138,18-24,woman,India,Yes,university educated,none,unknown,unknown/unemployed,
4139,18-24,man,United States of America,No,university educated,0-3 years,none,data role,"$30,000-$69,999"
4140,18-24,man,Argentina,Yes,no university,0-3 years,none,unknown/unemployed,
4141,45-54,woman,United States of America,Yes,no university,none,unknown,unknown/unemployed,
4142,45-54,man,United Kingdom of Great Britain and Northern Ireland,No,university educated,10+ years,5+ years,data role,"$125,000+"
4143,35-44,man,Brazil,No,no university,0-3 years,none,data role,"under $30,000"
4144,18-24,man,United Kingdom of Great Britain and Northern Ireland,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
4145,45-54,man,Turkey,No,no university,10+ years,0-2 years,unknown/unemployed,
4146,25-34,woman,United States of America,No,university educated,3-10 years,0-2 years,data role,"$125,000+"
4147,18-24,woman,Zimbabwe,Yes,no university,0-3 years,none,unknown/unemployed,
4148,35-44,man,Peru,No,university educated,0-3 years,0-2 years,unknown/unemployed,
4149,18-24,woman,India,No,university educated,0-3 years,unknown,unknown/unemployed,
4150,25-34,man,India,Yes,university educated,none,unknown,unknown/unemployed,
4151,18-24,man,Bangladesh,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4152,35-44,man,France,No,university educated,10+ years,5+ years,data role,"$30,000-$69,999"
4153,18-24,man,Taiwan,Yes,unknown,3-10 years,0-2 years,unknown/unemployed,
4154,18-24,woman,India,Yes,university educated,none,unknown,unknown/unemployed,
4155,25-34,man,India,No,university educated,0-3 years,2-5 years,data role,"under $30,000"
4156,18-24,woman,India,No,university educated,3-10 years,0-2 years,unknown/unemployed,
4157,25-34,man,Nigeria,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
4158,25-34,man,Colombia,Yes,university educated,0-3 years,none,unknown/unemployed,
4159,18-24,man,Turkey,No,university educated,0-3 years,2-5 years,data role,"under $30,000"
4160,25-34,man,India,Yes,unknown,none,unknown,unknown/unemployed,
4161,25-34,woman,Mexico,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
4162,18-24,man,India,No,university educated,none,unknown,data role,"under $30,000"
4163,35-44,man,Brazil,No,no university,0-3 years,none,data role,"under $30,000"
4164,18-24,man,China,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4165,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4166,35-44,woman,Italy,No,university educated,3-10 years,5+ years,data role,"$30,000-$69,999"
4167,25-34,man,Russia,No,university educated,3-10 years,2-5 years,data role,
4168,25-34,man,Brazil,No,university educated,3-10 years,5+ years,data role,"$30,000-$69,999"
4169,35-44,man,India,No,university educated,10+ years,none,non data role,"under $30,000"
4170,18-24,man,China,Yes,university educated,0-3 years,none,unknown/unemployed,
4171,25-34,man,United States of America,No,university educated,3-10 years,2-5 years,data role,"$125,000+"
4172,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
4173,18-24,man,Kenya,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4174,18-24,man,Morocco,No,university educated,3-10 years,0-2 years,non data role,"under $30,000"
4175,25-34,man,India,No,university educated,3-10 years,2-5 years,data role,"under $30,000"
4176,45-54,man,Colombia,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
4177,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4178,18-24,woman,India,Yes,unknown,unknown,unknown,unknown/unemployed,
4179,35-44,woman,United Kingdom of Great Britain and Northern Ireland,No,university educated,0-3 years,0-2 years,non data role,"$30,000-$69,999"
4180,35-44,woman,India,No,university educated,10+ years,unknown,unknown/unemployed,
4181,18-24,man,India,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
4182,18-24,woman,India,No,university educated,0-3 years,none,data role,"under $30,000"
4183,25-34,man,Ghana,No,university educated,0-3 years,0-2 years,data role,"$30,000-$69,999"
4184,55+,man,Brazil,No,university educated,10+ years,5+ years,non data role,"$125,000+"
4185,35-44,man,United States of America,No,university educated,10+ years,unknown,unknown/unemployed,
4186,35-44,man,United States of America,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4187,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4188,45-54,man,United States of America,No,university educated,0-3 years,0-2 years,unknown/unemployed,
4189,18-24,man,India,No,university educated,3-10 years,none,non data role,"under $30,000"
4190,18-24,man,India,No,university educated,0-3 years,0-2 years,unknown/unemployed,
4191,18-24,man,"Iran, Islamic Republic of...",Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
4192,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4193,18-24,man,Saudi Arabia,No,university educated,none,unknown,non data role,"under $30,000"
4194,35-44,man,Peru,No,university educated,10+ years,0-2 years,data role,"under $30,000"
4195,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4196,25-34,man,Egypt,No,university educated,0-3 years,0-2 years,unknown/unemployed,
4197,25-34,man,Ghana,Yes,university educated,0-3 years,none,unknown/unemployed,
4198,18-24,man,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
4199,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4200,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4201,18-24,man,India,Yes,unknown,3-10 years,0-2 years,unknown/unemployed,
4202,25-34,man,India,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
4203,18-24,man,Turkey,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
4204,18-24,woman,Indonesia,Yes,no university,none,unknown,unknown/unemployed,
4205,25-34,man,Nigeria,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
4206,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4207,25-34,man,Other,Yes,university educated,0-3 years,none,unknown/unemployed,
4208,45-54,man,Poland,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
4209,25-34,man,Zimbabwe,No,university educated,3-10 years,0-2 years,non data role,
4210,18-24,man,Sri Lanka,Yes,university educated,0-3 years,none,unknown/unemployed,
4211,18-24,man,Bangladesh,Yes,university educated,10+ years,0-2 years,unknown/unemployed,
4212,18-24,man,India,Yes,unknown,unknown,unknown,unknown/unemployed,
4213,25-34,man,United States of America,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
4214,35-44,man,Canada,No,unknown,10+ years,0-2 years,unknown/unemployed,
4215,18-24,woman,India,Yes,unknown,unknown,unknown,unknown/unemployed,
4216,18-24,man,Poland,Yes,university educated,none,unknown,unknown/unemployed,
4217,35-44,man,India,Yes,unknown,unknown,unknown,unknown/unemployed,
4218,55+,man,Other,Yes,university educated,10+ years,2-5 years,unknown/unemployed,
4219,18-24,woman,India,Yes,university educated,0-3 years,unknown,unknown/unemployed,
4220,25-34,man,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
4221,25-34,man,Bangladesh,No,university educated,3-10 years,0-2 years,unknown/unemployed,
4222,18-24,man,India,Yes,unknown,none,unknown,unknown/unemployed,
4223,18-24,man,Other,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4224,25-34,man,Poland,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
4225,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4226,25-34,woman,India,No,university educated,0-3 years,0-2 years,unknown/unemployed,
4227,25-34,man,India,No,university educated,3-10 years,2-5 years,data role,"$125,000+"
4228,25-34,man,China,No,unknown,unknown,unknown,unknown/unemployed,
4229,25-34,man,Nigeria,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4230,25-34,man,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
4231,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4232,18-24,woman,India,Yes,university educated,0-3 years,none,unknown/unemployed,
4233,45-54,man,United States of America,No,university educated,10+ years,none,non data role,"$125,000+"
4234,18-24,man,Other,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4235,45-54,man,United States of America,No,university educated,0-3 years,2-5 years,non data role,"$125,000+"
4236,35-44,man,India,No,university educated,10+ years,unknown,unknown/unemployed,
4237,25-34,man,Pakistan,No,university educated,3-10 years,0-2 years,non data role,"under $30,000"
4238,25-34,man,Nigeria,No,university educated,0-3 years,0-2 years,unknown/unemployed,
4239,25-34,man,Pakistan,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
4240,25-34,man,France,No,university educated,3-10 years,2-5 years,data role,"$30,000-$69,999"
4241,35-44,man,Chile,No,no university,3-10 years,none,non data role,"under $30,000"
4242,25-34,man,Kenya,No,university educated,0-3 years,none,data role,"under $30,000"
4243,35-44,man,Japan,No,university educated,3-10 years,unknown,unknown/unemployed,
4244,25-34,man,China,No,university educated,none,unknown,non data role,"under $30,000"
4245,18-24,man,Pakistan,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4246,25-34,man,United Kingdom of Great Britain and Northern Ireland,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
4247,25-34,woman,Brazil,Yes,university educated,0-3 years,none,unknown/unemployed,
4248,18-24,man,Egypt,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4249,25-34,woman,Other,No,university educated,none,unknown,non data role,
4250,18-24,woman,India,Yes,unknown,3-10 years,0-2 years,unknown/unemployed,
4251,25-34,man,India,No,university educated,0-3 years,none,data role,"under $30,000"
4252,35-44,woman,United States of America,No,university educated,3-10 years,5+ years,non data role,"$125,000+"
4253,25-34,woman,India,No,university educated,0-3 years,0-2 years,unknown/unemployed,
4254,55+,man,India,No,university educated,10+ years,0-2 years,unknown/unemployed,
4255,25-34,man,Ethiopia,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
4256,18-24,man,Egypt,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
4257,45-54,man,Colombia,Yes,unknown,none,unknown,unknown/unemployed,
4258,25-34,woman,United States of America,Yes,university educated,3-10 years,unknown,unknown/unemployed,
4259,35-44,woman,United States of America,No,university educated,3-10 years,0-2 years,unknown/unemployed,
4260,25-34,man,South Korea,No,university educated,3-10 years,0-2 years,data role,"$30,000-$69,999"
4261,55+,man,Australia,No,university educated,10+ years,5+ years,non data role,
4262,35-44,man,South Africa,No,university educated,10+ years,2-5 years,data role,"$30,000-$69,999"
4263,18-24,woman,Other,No,no university,none,unknown,data role,"$125,000+"
4264,25-34,man,Ghana,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4265,18-24,other,Japan,Yes,no university,0-3 years,none,unknown/unemployed,
4266,25-34,man,Colombia,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
4267,25-34,man,Russia,No,unknown,0-3 years,unknown,unknown/unemployed,
4268,18-24,man,Morocco,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
4269,18-24,man,Tunisia,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
4270,45-54,man,Other,No,university educated,3-10 years,0-2 years,non data role,"$30,000-$69,999"
4271,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
4272,18-24,man,Russia,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4273,35-44,woman,Mexico,No,university educated,0-3 years,none,unknown/unemployed,
4274,35-44,man,India,No,university educated,0-3 years,unknown,unknown/unemployed,
4275,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
4276,35-44,man,India,Yes,university educated,10+ years,0-2 years,unknown/unemployed,
4277,25-34,man,United States of America,No,university educated,0-3 years,0-2 years,data role,
4278,25-34,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
4279,35-44,man,India,No,university educated,10+ years,5+ years,data role,"$30,000-$69,999"
4280,25-34,man,Russia,No,university educated,none,unknown,data role,"under $30,000"
4281,25-34,man,United States of America,Yes,university educated,10+ years,0-2 years,unknown/unemployed,
4282,35-44,man,United States of America,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
4283,18-24,man,India,No,university educated,0-3 years,none,data role,"under $30,000"
4284,25-34,woman,India,No,university educated,none,unknown,non data role,"under $30,000"
4285,35-44,man,South Korea,Yes,university educated,10+ years,2-5 years,unknown/unemployed,
4286,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4287,45-54,man,Saudi Arabia,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
4288,35-44,man,Nigeria,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
4289,18-24,man,Italy,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
